variable_name,units,value,data_reference
g_piezo_channel,nanoS,4,estimated_from_Wijerathne2024
m_r_init_piezo_channel,dimensionless,0.001,user_defined
tau_r_piezo_channel,ms,10,user_defined
r_50_piezo_channel,dimensionless,1.5,user_defined
m_V_init_piezo_channel,dimensionless,0.01,user_defined
tau_V_piezo_channel,ms,10,user_defined
V_50_piezo_channel,milliV,-60,user_defined
k_V_piezo_channel,milliV,4.352,calculated_for_0.01_opening_at_V_of-80
k_r_piezo_channel,dimensionless,0.0653,calculated_for_0.01_opening_at_r_ratio_of_1.2
Vm_piezo_channel,milliV,-60,user_defined
E_Na_piezo_channel,milliV,65,user_defined
r_piezo_channel,dimensionless,1.2,user_defined
Ca_i_init_smc,mM,0.000109052675997508,hernandezhernandez2024
V_init_smc,mV,-40.7333338743384,hernandezhernandez2024
F_smc,C_per_mol,96485.3415,hernandezhernandez2024
R_smc,J_per_MK,8.314472,hernandezhernandez2024
T_smc,kelvin,295.2,hernandezhernandez2024
Ca_out_smc,mM,2,hernandezhernandez2024
Ca_jun_init_smc,mM,0.000227991708483655,hernandezhernandez2024
Z_ca_smc,dimensionless,2,hernandezhernandez2024
Na_out_smc,mM,130,hernandezhernandez2024
Na_i_init_smc,mM,8.72676373320819,hernandezhernandez2024
K_out_smc,mM,5,hernandezhernandez2024
K_i_init_smc,mM,141.264330417682,hernandezhernandez2024
Pk_smc,dimensionless,0.0289007,hernandezhernandez2024
vol_cell_smc,um3,1000,hernandezhernandez2024
vol_SRcen_smc,um3,50,hernandezhernandez2024
vol_jun_smc,um3,5,hernandezhernandez2024
BUF_1_init_smc,mM,0.00907483803978344,hernandezhernandez2024
Z_Na_smc,dimensionless,1,hernandezhernandez2024
Z_K_smc,dimensionless,1,hernandezhernandez2024
C_m_smc,picoFarad,16,hernandezhernandez2024
BUF_T_smc,mM,0.3,hernandezhernandez2024
K_BUF_on_smc,per_mMms,22,hernandezhernandez2024
K_BUF_off_smc,per_ms,0.077,hernandezhernandez2024
BUF_jun_T_smc,mM,0.3,hernandezhernandez2024
CSQ_SRcen_T_smc,mM,0.3,hernandezhernandez2024
CSQ_SRper_T_smc,mM,0.3,hernandezhernandez2024
k_CSQ_on_smc,per_mMms,2,hernandezhernandez2024
k_CSQ_off_smc,per_ms,1.6,hernandezhernandez2024
CSQ_SRcen1_init_smc,mM,0.0354148933077165,hernandezhernandez2024
Ca_SRcen_init_smc,mM,0.107090976209728,hernandezhernandez2024
I_SERC_bar_smc,mM_per_ms,0.00000525,hernandezhernandez2024
k_mSERCA_smc,mM,0.000219,hernandezhernandez2024
BUF_jun_1_init_smc,mM,0.0181629289750776,hernandezhernandez2024
n_RyR_Ca_jun_smc,dimensionless,1.2,hernandezhernandez2024
R_10_init_smc,dimensionless,0.000409112158422339,hernandezhernandez2024
dL_init_smc,dimensionless,0.00179207809363321,hernandezhernandez2024
dF_init_smc,dimensionless,0.774962251738939,hernandezhernandez2024
I_PMCA_bar_smc,picoA,2.8,hernandezhernandez2024
K_m_PMCA_smc,mM,0.00017,hernandezhernandez2024
G_Ca_b_smc,nS,0.00255992,hernandezhernandez2024
P_NCX_smc,picoA,0.0003,hernandezhernandez2024
gammax_smc,dimensionless,0.45,hernandezhernandez2024
Q10_smc,dimensionless,1.87,hernandezhernandez2024
K_mNaK_k_smc,mM,1.6,hernandezhernandez2024
K_mNaK_na_smc,mM,22,hernandezhernandez2024
I_NaK_max_smc,picoA,104.16,hernandezhernandez2024
G_Na_b_smc,nS,0.001,hernandezhernandez2024
G_K_b_smc,nS,0.009,hernandezhernandez2024
Pk_15_init_smc,dimensionless,0.0665166939250231,hernandezhernandez2024
G_k15_smc,nS,1.8,hernandezhernandez2024
PnsK_smc,dimensionless,1.3,hernandezhernandez2024
PnsNa_smc,dimensionless,0.9,hernandezhernandez2024
gns_smc,nS,0.5535,hernandezhernandez2024
gnsNa_smc,dimensionless,0.5,hernandezhernandez2024
gnsK_smc,dimensionless,0.1,hernandezhernandez2024
Pk_21_init_smc,dimensionless,0.0277083564071896,hernandezhernandez2024
G_k21_smc,nS,0.7,hernandezhernandez2024
BK_T_smc,dimensionless,8,hernandezhernandez2024
Perm_BKCa_smc,cm3_per_second,4E-13,hernandezhernandez2024
x_ab_init_smc,dimensionless,0.00636417677218723,hernandezhernandez2024
I_piezo_smc,picoA,0,user_defined
